datetime,city,station,pollutant,pollution_value,date,year,month
2012-03-12 23:30:00,Dublin,Trailer 3,NO2,6.4,2012-03-12,2012,3
2012-04-13 03:15:00,Dublin,Trailer 1,NO2,3.6,2012-04-13,2012,4
2011-12-14 01:15:00,Dublin,Trailer 1,NO2,1.8,2011-12-14,2011,12
2012-03-10 10:45:00,Dublin,Trailer 3,CO,0.1,2012-03-10,2012,3
2012-02-17 04:30:00,Dublin,Rathmines,NO2,1.7,2012-02-17,2012,2
2011-12-06 19:30:00,Dublin,Trailer 1,CO,0.2,2011-12-06,2011,12
2011-12-18 06:00:00,Dublin,Rathmines,NO2,3.2,2011-12-18,2011,12
2012-01-03 04:00:00,Dublin,Rathmines,O3,33.9,2012-01-03,2012,1
2011-12-26 02:45:00,Dublin,Swords NOX,NO,1.0,2011-12-26,2011,12
2011-12-30 17:15:00,Dublin,Trailer 3,NO,171.0,2011-12-30,2011,12
2012-03-07 10:45:00,Dublin,Rathmines,O3,35.4,2012-03-07,2012,3
2012-02-14 11:00:00,Dublin,Trailer 3,CO,0.7,2012-02-14,2012,2
2011-12-07 11:45:00,Dublin,Rathmines,NO2,9.1,2011-12-07,2011,12
2012-02-22 01:45:00,Dublin,Trailer 1,NO2,0.9,2012-02-22,2012,2
2012-03-08 15:30:00,Dublin,Trailer 3,NO,1.8,2012-03-08,2012,3
2012-03-25 15:15:00,Dublin,Swords O3,O3,49.1,2012-03-25,2012,3
2011-12-20 23:30:00,Dublin,Trailer 3,NO2,7.5,2011-12-20,2011,12
2012-04-15 23:00:00,Dublin,Rathmines,NO,15.1,2012-04-15,2012,4
2012-04-05 11:00:00,Dublin,Rathmines,NO,8.4,2012-04-05,2012,4
2011-12-10 20:30:00,Dublin,Trailer 3,NO,1.0,2011-12-10,2011,12
2012-02-06 16:00:00,Dublin,Trailer 1,NO2,4.2,2012-02-06,2012,2
2012-03-08 10:15:00,Dublin,Trailer 3,NO,2.1,2012-03-08,2012,3
2012-02-12 12:15:00,Dublin,Rathmines,NO,1.2,2012-02-12,2012,2
2012-04-01 16:00:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-04-01,2012,4
2012-04-04 08:45:00,Dublin,Swords NOX,NO2,4.2,2012-04-04,2012,4
2012-03-19 14:15:00,Dublin,Swords O3,O3,43.7,2012-03-19,2012,3
2012-02-25 11:30:00,Dublin,Swords NOX,NO,0.6,2012-02-25,2012,2
2012-01-04 06:00:00,Dublin,Trailer 1,NO,1.0,2012-01-04,2012,1
2012-03-02 07:30:00,Dublin,Swords O3,O3,19.9,2012-03-02,2012,3
2012-02-11 20:30:00,Dublin,Swords O3,O3,3.4,2012-02-11,2012,2
2012-02-22 03:45:00,Dublin,Swords O3,O3,39.2,2012-02-22,2012,2
2012-03-27 10:30:00,Dublin,Rathmines,NO2,22.0,2012-03-27,2012,3
2012-03-29 13:30:00,Dublin,Trailer 3,NO,0.7,2012-03-29,2012,3
2011-12-24 14:45:00,Dublin,Trailer 3,CO,0.5,2011-12-24,2011,12
2012-04-09 12:45:00,Dublin,Rathmines,NO,1.5,2012-04-09,2012,4
2012-03-17 17:15:00,Dublin,Rathmines,O3,29.6,2012-03-17,2012,3
2012-04-06 15:00:00,Dublin,Trailer 3,NO,0.6,2012-04-06,2012,4
2011-12-08 10:30:00,Dublin,Trailer 1,NO,0.6,2011-12-08,2011,12
2012-03-31 18:00:00,Dublin,Swords NOX,NO2,5.6,2012-03-31,2012,3
2012-02-06 16:30:00,Dublin,Trailer 3,CO,0.5,2012-02-06,2012,2
2012-02-21 11:00:00,Dublin,Swords O3,O3,33.7,2012-02-21,2012,2
2012-02-08 13:45:00,Dublin,Trailer 3,CO,0.8,2012-02-08,2012,2
2011-12-01 05:45:00,Dublin,Trailer 3,CO,1.0,2011-12-01,2011,12
2012-04-14 22:30:00,Dublin,Trailer 3,CO,0.2,2012-04-14,2012,4
2012-03-05 22:15:00,Dublin,Swords NOX,NO2,24.9,2012-03-05,2012,3
2011-12-27 17:30:00,Dublin,Rathmines,NO2,4.9,2011-12-27,2011,12
2012-03-12 14:15:00,Dublin,Trailer 1,CO,0.2,2012-03-12,2012,3
2011-12-05 10:15:00,Dublin,Trailer 3,NO,3.7,2011-12-05,2011,12
2012-02-07 15:45:00,Dublin,Trailer 3,CO,0.8,2012-02-07,2012,2
2012-03-15 15:30:00,Dublin,Swords O3,O3,23.9,2012-03-15,2012,3
2012-04-11 03:30:00,Dublin,Trailer 1,NO2,4.6,2012-04-11,2012,4
2012-04-17 06:45:00,Dublin,Trailer 1,CO,0.3,2012-04-17,2012,4
2012-03-25 05:30:00,Dublin,Trailer 1,NO,0.1,2012-03-25,2012,3
2012-02-29 19:00:00,Dublin,Clonskeagh,O3,19.448,2012-02-29,2012,2
2012-03-19 06:00:00,Dublin,Rathmines,NO,0.1,2012-03-19,2012,3
2012-02-04 11:00:00,Dublin,Rathmines,NO,0.9,2012-02-04,2012,2
2012-04-16 22:15:00,Dublin,Trailer 3,CO,0.2,2012-04-16,2012,4
2012-03-18 02:45:00,Dublin,Trailer 3,NO2,5.6,2012-03-18,2012,3
2012-02-11 20:45:00,Dublin,Swords NOX,NO2,23.5,2012-02-11,2012,2
2012-03-21 03:30:00,Dublin,Trailer 3,NO2,5.1,2012-03-21,2012,3
2012-02-09 07:30:00,Dublin,Rathmines,NO2,33.4,2012-02-09,2012,2
2012-03-15 18:30:00,Dublin,Rathmines,NO2,33.9,2012-03-15,2012,3
2012-01-02 04:15:00,Dublin,Rathmines,NO,1.3,2012-01-02,2012,1
2012-02-05 21:15:00,Dublin,Swords O3,O3,12.9,2012-02-05,2012,2
